workerid,proliferate.condition,bothQuestionsCorrect,condition,correct,failed_audio,failed_images,failed_video,first,gender,internal_node_id,participant_hypothesis,question_order,response,rt,second,stimulus,success,tech_difficulty,time_elapsed,timeout,trial_index,trial_type,error
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.11,Some corelation between empathetic ability and coordination skills,,arrowleft,379,empathetic,img/social/version2/12.png,,No difficulties,170813,,25,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.12,Some corelation between empathetic ability and coordination skills,,arrowleft,884,empathetic,img/social/version2/13.png,,No difficulties,171752,,26,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.13,Some corelation between empathetic ability and coordination skills,,arrowright,556,empathetic,img/social/version2/14.png,,No difficulties,172360,,27,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.14,Some corelation between empathetic ability and coordination skills,,arrowright,1303,empathetic,img/social/version2/15.png,,No difficulties,173708,,28,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.15,Some corelation between empathetic ability and coordination skills,,arrowleft,993,empathetic,img/social/version2/16.png,,No difficulties,174747,,29,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.16,Some corelation between empathetic ability and coordination skills,,arrowleft,827,empathetic,img/social/version2/17.png,,No difficulties,175599,,30,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.17,Some corelation between empathetic ability and coordination skills,,arrowright,406,empathetic,img/social/version2/18.png,,No difficulties,176055,,31,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.18,Some corelation between empathetic ability and coordination skills,,arrowright,688,empathetic,img/social/version2/19.png,,No difficulties,176789,,32,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.19,Some corelation between empathetic ability and coordination skills,,arrowleft,569,empathetic,img/social/version2/20.png,,No difficulties,177395,,33,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.20,Some corelation between empathetic ability and coordination skills,,arrowleft,534,empathetic,img/social/version2/21.png,,No difficulties,177980,,34,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.21,Some corelation between empathetic ability and coordination skills,,arrowleft,839,empathetic,img/social/version2/22.png,,No difficulties,178870,,35,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.22,Some corelation between empathetic ability and coordination skills,,arrowright,380,empathetic,img/social/version2/23.png,,No difficulties,179296,,36,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.23,Some corelation between empathetic ability and coordination skills,,arrowright,452,empathetic,img/social/version2/24.png,,No difficulties,179795,,37,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.24,Some corelation between empathetic ability and coordination skills,,arrowleft,1162,empathetic,img/social/version2/25.png,,No difficulties,181001,,38,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.25,Some corelation between empathetic ability and coordination skills,,arrowleft,529,empathetic,img/social/version2/26.png,,No difficulties,181577,,39,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.26,Some corelation between empathetic ability and coordination skills,,arrowleft,300,empathetic,img/social/version2/27.png,,No difficulties,181921,,40,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.27,Some corelation between empathetic ability and coordination skills,,arrowright,578,empathetic,img/social/version2/28.png,,No difficulties,182545,,41,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.28,Some corelation between empathetic ability and coordination skills,,arrowright,352,empathetic,img/social/version2/29.png,,No difficulties,182943,,42,image-keyboard-response,
325,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.29,Some corelation between empathetic ability and coordination skills,,arrowright,299,empathetic,img/social/version2/30.png,,No difficulties,183288,,43,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.30,Some corelation between empathetic ability and coordination skills,,arrowright,763,empathetic,img/social/version2/31.png,,No difficulties,184073,,44,image-keyboard-response,
325,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.31,Some corelation between empathetic ability and coordination skills,,arrowright,567,empathetic,img/social/version2/32.png,,No difficulties,184686,,45,image-keyboard-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-13.0,Some corelation between empathetic ability and coordination skills,,0,2363,empathetic,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! A few more questions before you go. </p>",,No difficulties,187050,,46,html-button-response,
325,Empathetic,True,social,,,,,Females,Male,0.0-14.0,Some corelation between empathetic ability and coordination skills,,{'Hypothesis': 'Some corelation between empathetic ability and coordination skills'},17723,empathetic,,,No difficulties,204789,,47,survey-text,
325,Empathetic,True,social,,,,,Females,Male,0.0-15.0,Some corelation between empathetic ability and coordination skills,[0],{'sex': 'Male'},15508,empathetic,,,No difficulties,220302,,48,survey-multi-choice,
325,Empathetic,True,social,,,,,Females,Male,0.0-16.0,Some corelation between empathetic ability and coordination skills,[0],{'q2': 'empathetic ability'},34470,empathetic,,,No difficulties,254774,,49,survey-multi-choice,
325,Empathetic,True,social,,,,,Females,Male,0.0-17.0,Some corelation between empathetic ability and coordination skills,[0],{'q3': 'Females'},3110,empathetic,,,No difficulties,257887,,50,survey-multi-choice,
325,Empathetic,True,social,,,,,Females,Male,0.0-18.0,Some corelation between empathetic ability and coordination skills,,{'technicalDifficulties': 'No difficulties'},11638,empathetic,,,No difficulties,269534,,51,survey-text,
325,Empathetic,True,social,,,,,Females,Male,0.0-19.0,Some corelation between empathetic ability and coordination skills,,0,5108,empathetic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",,No difficulties,274645,,52,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-0.0,I don't know,,,,empathic,,True,No,3456,,0,fullscreen,
69,Empathetic,True,social,,[],[],[],Females,Male,0.0-1.0,I don't know,,,,empathic,,True,No,4403,False,1,preload,
69,Empathetic,True,social,,,,,Females,Male,0.0-2.0,I don't know,,0,1809,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",,No,6214,,2,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-3.0,I don't know,,0,3500,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",,No,9714,,3,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-4.0,I don't know,,0,884,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>empathetic ability</strong>.</p>",,No,10599,,4,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-5.0,I don't know,,0,1176,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Empathetic ability is a social ability that is defined as being able to identify with, and understand what another person is seeing or feeling, and respond appropriately.</p>",,No,11775,,5,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-6.0,I don't know,,0,1715,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>females often score higher on measures of empathetic ability</strong>.</p>",,No,13492,,6,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-7.0,I don't know,,"{'first': 'Females', 'second': 'empathic'}",8392,empathic,,,No,21885,,7,survey-html-form,
69,Empathetic,True,social,,,,,Females,Male,0.0-8.0,I don't know,,0,15559,empathic,"'<div style=""text-align: left;padding: 0 20vw;""><p>In this test, you will be shown a map of a city with a path drawn through it. </p>
      <p>Imagine yourself taking the perspective of the person on the map. Suppose that one day, you went for walk and followed the path through the city that is shown. </p> 
      <p>At each turn that the path takes, 
      your task is to decide whether you would turn to your right or your left as you are walking. </p>
      <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p>
      <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p>
      <p>You will first see three practice trials. </p>
      <p>Please do not turn your computer screen/head.</p>",,No,37445,,8,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-9.0,I don't know,,0,2094,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p> ",,No,39540,,9,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-10.0-0.0,I don't know,,arrowleft,4212,empathic,img/social/version2/p1.png,,No,43754,,10,image-keyboard-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-10.0-1.0,I don't know,,arrowright,701,empathic,img/social/version2/p2.png,,No,44455,,11,image-keyboard-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-10.0-2.0,I don't know,,arrowright,922,empathic,img/social/version2/p3.png,,No,45378,,12,image-keyboard-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-11.0,I don't know,,0,1975,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",,No,47354,,13,html-button-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.0,I don't know,,arrowleft,1564,empathic,img/social/version2/1.png,,No,48911,,14,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.1,I don't know,,arrowleft,669,empathic,img/social/version2/2.png,,No,49581,,15,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.2,I don't know,,arrowright,613,empathic,img/social/version2/3.png,,No,50195,,16,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.3,I don't know,,arrowright,606,empathic,img/social/version2/4.png,,No,50802,,17,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.4,I don't know,,arrowleft,641,empathic,img/social/version2/5.png,,No,51443,,18,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.5,I don't know,,arrowright,2412,empathic,img/social/version2/6.png,,No,53856,,19,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.6,I don't know,,arrowleft,757,empathic,img/social/version2/7.png,,No,54614,,20,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.7,I don't know,,arrowright,1012,empathic,img/social/version2/8.png,,No,55627,,21,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.8,I don't know,,arrowright,585,empathic,img/social/version2/9.png,,No,56213,,22,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.9,I don't know,,arrowleft,478,empathic,img/social/version2/10.png,,No,56692,,23,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.10,I don't know,,arrowleft,2279,empathic,img/social/version2/11.png,,No,58971,,24,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.11,I don't know,,arrowleft,686,empathic,img/social/version2/12.png,,No,59658,,25,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.12,I don't know,,arrowright,1636,empathic,img/social/version2/13.png,,No,61294,,26,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.13,I don't know,,arrowright,875,empathic,img/social/version2/14.png,,No,62170,,27,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.14,I don't know,,arrowleft,1173,empathic,img/social/version2/15.png,,No,63344,,28,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.15,I don't know,,arrowright,753,empathic,img/social/version2/16.png,,No,64098,,29,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.16,I don't know,,arrowleft,1463,empathic,img/social/version2/17.png,,No,65562,,30,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.17,I don't know,,arrowright,524,empathic,img/social/version2/18.png,,No,66087,,31,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.18,I don't know,,arrowright,1069,empathic,img/social/version2/19.png,,No,67157,,32,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.19,I don't know,,arrowleft,902,empathic,img/social/version2/20.png,,No,68060,,33,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.20,I don't know,,arrowleft,725,empathic,img/social/version2/21.png,,No,68786,,34,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.21,I don't know,,arrowleft,756,empathic,img/social/version2/22.png,,No,69542,,35,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.22,I don't know,,arrowright,504,empathic,img/social/version2/23.png,,No,70047,,36,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.23,I don't know,,arrowright,452,empathic,img/social/version2/24.png,,No,70500,,37,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.24,I don't know,,arrowright,1643,empathic,img/social/version2/25.png,,No,72144,,38,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.25,I don't know,,arrowleft,2239,empathic,img/social/version2/26.png,,No,74383,,39,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.26,I don't know,,arrowleft,1262,empathic,img/social/version2/27.png,,No,75646,,40,image-keyboard-response,
69,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.27,I don't know,,arrowright,1019,empathic,img/social/version2/28.png,,No,76666,,41,image-keyboard-response,
69,Empathetic,True,social,False,,,,Females,Male,0.0-12.0-0.28,I don't know,,,,empathic,,,No,77351,,42,image-keyboard-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-13.0,I don't know,,0,2292,empathic,"<p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! A few more questions before you go. </p>",,No,79644,,43,html-button-response,
69,Empathetic,True,social,,,,,Females,Male,0.0-14.0,I don't know,,"{'Hypothesis': ""I don't know""}",9910,empathic,,,No,89557,,44,survey-text,
69,Empathetic,True,social,,,,,Females,Male,0.0-15.0,I don't know,[0],{'sex': 'Male'},1982,empathic,,,No,91540,,45,survey-multi-choice,
69,Empathetic,True,social,,,,,Females,Male,0.0-16.0,I don't know,[0],{'q2': 'empathetic ability'},12536,empathic,,,No,104079,,46,survey-multi-choice,
69,Empathetic,True,social,,,,,Females,Male,0.0-17.0,I don't know,[0],{'q3': 'Females'},3728,empathic,,,No,107809,,47,survey-multi-choice,
69,Empathetic,True,social,,,,,Females,Male,0.0-18.0,I don't know,,{'technicalDifficulties': 'No'},4738,empathic,,,No,112559,,48,survey-text,
69,Empathetic,True,social,,,,,Females,Male,0.0-19.0,I don't know,,0,1026,empathic,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",,No,113587,,49,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-0.0,Testing our IQ,,,,empathic ,,True,None,8320,,0,fullscreen,
103,Empathetic,True,social,,[],[],[],Females,Male,0.0-1.0,Testing our IQ,,,,empathic ,,True,None,11049,False,1,preload,
103,Empathetic,True,social,,,,,Females,Male,0.0-2.0,Testing our IQ,,0,2572,empathic ,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",,None,13622,,2,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-3.0,Testing our IQ,,0,1141,empathic ,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",,None,14764,,3,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-4.0,Testing our IQ,,0,885,empathic ,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>empathetic ability</strong>.</p>",,None,15650,,4,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-5.0,Testing our IQ,,0,3660,empathic ,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Empathetic ability is a social ability that is defined as being able to identify with, and understand what another person is seeing or feeling, and respond appropriately.</p>",,None,19311,,5,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-6.0,Testing our IQ,,0,3057,empathic ,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>females often score higher on measures of empathetic ability</strong>.</p>",,None,22368,,6,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-7.0,Testing our IQ,,"{'first': 'Females', 'second': 'empathic '}",19493,empathic ,,,None,41862,,7,survey-html-form,
103,Empathetic,True,social,,,,,Females,Male,0.0-8.0,Testing our IQ,,0,12988,empathic ,"'<div style=""text-align: left;padding: 0 20vw;""><p>In this test, you will be shown a map of a city with a path drawn through it. </p>
      <p>Imagine yourself taking the perspective of the person on the map. Suppose that one day, you went for walk and followed the path through the city that is shown. </p> 
      <p>At each turn that the path takes, 
      your task is to decide whether you would turn to your right or your left as you are walking. </p>
      <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p>
      <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p>
      <p>You will first see three practice trials. </p>
      <p>Please do not turn your computer screen/head.</p>",,None,54852,,8,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-9.0,Testing our IQ,,0,1826,empathic ,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p> ",,None,56679,,9,html-button-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-10.0-0.0,Testing our IQ,,arrowright,5580,empathic ,img/social/version2/p1.png,,None,62264,,10,image-keyboard-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-10.0-1.0,Testing our IQ,,arrowright,3055,empathic ,img/social/version2/p2.png,,None,65320,,11,image-keyboard-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-10.0-2.0,Testing our IQ,,arrowright,2310,empathic ,img/social/version2/p3.png,,None,67632,,12,image-keyboard-response,
103,Empathetic,True,social,,,,,Females,Male,0.0-11.0,Testing our IQ,,0,2364,empathic ,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",,None,69997,,13,html-button-response,
103,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.0,Testing our IQ,,arrowleft,1553,empathic ,img/social/version2/1.png,,None,71552,,14,image-keyboard-response,
103,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.1,Testing our IQ,,arrowleft,902,empathic ,img/social/version2/2.png,,None,72455,,15,image-keyboard-response,
103,Empathetic,True,social,True,,,,Females,Male,0.0-12.0-0.2,Testing our IQ,,arrowright,1063,empathic ,img/social/version2/3.png,,None,73520,,16,image-keyboard-response,
