workerid,proliferate.condition,bothQuestionsCorrect,condition,correct,failed_audio,failed_images,failed_video,first,gender,internal_node_id,participant_hypothesis,question_order,response,rt,second,status,stimulus,success,tech_difficulty,time_elapsed,timeout,trial_index,trial_type,error
275,Spatial,True,spatial,,,,,mens,Female,0.0-2.0,Fast direction skill,,0,2707,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",,,45454,,2,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-3.0,Fast direction skill,,0,1200,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",,,46655,,3,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-4.0,Fast direction skill,,0,1498,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>spatial ability</strong>.</p>",,,48154,,4,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-5.0,Fast direction skill,,0,848,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space and being able to mentally manipulate them and respond correctly.</p>",,,49002,,5,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-6.0,Fast direction skill,,0,2815,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>males often score higher on measures of spatial ability</strong>.</p>",,,51818,,6,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-7.0,Fast direction skill,,"{'first': 'mens', 'second': 'social'}",33144,social,,,,,84964,,7,survey-html-form,
275,Spatial,True,spatial,,,,,mens,Female,0.0-8.0,Fast direction skill,,0,10722,social,,"<div style=""text-align: left;padding: 0 20vw;""><p>In this test, you will be shown a map of a city with a path drawn through it. </p>
      <p>Imagine yourself taking a walk through the path, following the direction of the dashed line.</p> 
      <p>At each turn that the path takes, which will be circled, 
      your task is to decide whether you would turn to your right or your left as you are walking. </p>
      <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p>
      <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p>
      <p>You will first see three practice trials. </p>
      <p>Please do not turn your computer screen/head.</p>",,,95686,,8,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-9.0,Fast direction skill,,0,2416,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p> ",,,98104,,9,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-10.0-0.0,Fast direction skill,,arrowleft,3148,social,,img/spatial/version2/p1.png,,,101253,,10,image-keyboard-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-10.0-1.0,Fast direction skill,,arrowright,1397,social,,img/spatial/version2/p2.png,,,102651,,11,image-keyboard-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-10.0-2.0,Fast direction skill,,arrowright,1365,social,,img/spatial/version2/p3.png,,,104017,,12,image-keyboard-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-11.0,Fast direction skill,,0,2097,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",,,106114,,13,html-button-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.0,Fast direction skill,,arrowleft,1613,social,,img/spatial/version2/1.png,,,107729,,14,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.1,Fast direction skill,,arrowleft,961,social,,img/spatial/version2/2.png,,,108691,,15,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.2,Fast direction skill,,arrowright,1586,social,,img/spatial/version2/3.png,,,110278,,16,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.3,Fast direction skill,,arrowright,1284,social,,img/spatial/version2/4.png,,,111562,,17,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.4,Fast direction skill,,arrowleft,1183,social,,img/spatial/version2/5.png,,,112747,,18,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.5,Fast direction skill,,arrowleft,1957,social,,img/spatial/version2/6.png,,,114704,,19,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.6,Fast direction skill,,arrowright,738,social,,img/spatial/version2/7.png,,,115443,,20,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.7,Fast direction skill,,arrowright,1474,social,,img/spatial/version2/8.png,,,116918,,21,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.8,Fast direction skill,,arrowright,781,social,,img/spatial/version2/9.png,,,117700,,22,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.9,Fast direction skill,,arrowleft,1710,social,,img/spatial/version2/10.png,,,119411,,23,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.10,Fast direction skill,,arrowright,826,social,,img/spatial/version2/11.png,,,120238,,24,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.11,Fast direction skill,,arrowleft,827,social,,img/spatial/version2/12.png,,,121065,,25,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.12,Fast direction skill,,arrowleft,2224,social,,img/spatial/version2/13.png,,,123290,,26,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.13,Fast direction skill,,arrowright,883,social,,img/spatial/version2/14.png,,,124173,,27,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.14,Fast direction skill,,arrowright,2482,social,,img/spatial/version2/15.png,,,126656,,28,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.15,Fast direction skill,,arrowleft,1250,social,,img/spatial/version2/16.png,,,127907,,29,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.16,Fast direction skill,,arrowleft,1887,social,,img/spatial/version2/17.png,,,129795,,30,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.17,Fast direction skill,,arrowright,949,social,,img/spatial/version2/18.png,,,130745,,31,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.18,Fast direction skill,,arrowright,1285,social,,img/spatial/version2/19.png,,,132030,,32,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.19,Fast direction skill,,arrowleft,1127,social,,img/spatial/version2/20.png,,,133158,,33,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.20,Fast direction skill,,arrowleft,970,social,,img/spatial/version2/21.png,,,134130,,34,image-keyboard-response,
275,Spatial,True,spatial,True,,,,mens,Female,0.0-12.0-0.21,Fast direction skill,,arrowleft,983,social,,img/spatial/version2/22.png,,,135114,,35,image-keyboard-response,
275,Spatial,True,spatial,False,,,,mens,Female,0.0-12.0-0.22,Fast direction skill,,,,social,ended early,,,,136129,,36,image-keyboard-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-13.0,Fast direction skill,,0,1388,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! A few more questions before you go. </p>",,,137518,,37,html-button-response,
275,Spatial,True,spatial,,,,,mens,Female,0.0-14.0,Fast direction skill,,{'Hypothesis': 'Fast direction skill'},27361,social,,,,,164882,,38,survey-text,
275,Spatial,True,spatial,,,,,mens,Female,0.0-15.0,Fast direction skill,[0],{'sex': 'Female'},1801,social,,,,,166684,,39,survey-multi-choice,
275,Spatial,True,spatial,,,,,mens,Female,0.0-16.0,Fast direction skill,[0],{'q2': 'spatial ability'},6312,social,,,,,172998,,40,survey-multi-choice,
275,Spatial,True,spatial,,,,,mens,Female,0.0-17.0,Fast direction skill,[0],{'q3': 'Males'},2715,social,,,,,175716,,41,survey-multi-choice,
275,Spatial,True,spatial,,,,,mens,Female,0.0-18.0,Fast direction skill,,{'technicalDifficulties': ''},4449,social,,,,,180169,,42,survey-text,
275,Spatial,True,spatial,,,,,mens,Female,0.0-19.0,Fast direction skill,,0,616,social,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Thanks for participating! In this study the task is framed either as a spatial task (which male participants typically perform better on) or a social task (which female participants typically perform better on). We are looking at the effect of gender bias in problem framing on performance. We ask that you please do not share this information with other potential participants. </p>",,,180785,,43,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-0.0,basically to get a person's perspective on spatial directions.,,,,saptial,,,True,,6359,,0,fullscreen,
149,Spatial,True,spatial,,[],[],[],males,Female,0.0-1.0,basically to get a person's perspective on spatial directions.,,,,saptial,,,True,,18672,False,1,preload,
149,Spatial,True,spatial,,,,,males,Female,0.0-2.0,basically to get a person's perspective on spatial directions.,,0,6930,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>By answering the following questions, you are participating in a study being performed by cognitive scientists in the Stanford Department of Psychology. </p><p>If you have questions about this research, please contact us at stanfordpsych251@gmail.com. </p><p>You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. </p><p>Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p>",,,25605,,2,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-3.0,basically to get a person's perspective on spatial directions.,,0,2442,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Our experiment is a task that tests your perspective taking ability.</p>",,,28051,,3,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-4.0,basically to get a person's perspective on spatial directions.,,0,3489,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Perspective taking ability can be thought of as a measure of <strong>spatial ability</strong>.</p>",,,31546,,4,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-5.0,basically to get a person's perspective on spatial directions.,,0,9147,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>Spatial ability is a cognitive ability that is defined as understanding the relations between objects in space and being able to mentally manipulate them and respond correctly.</p>",,,40698,,5,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-6.0,basically to get a person's perspective on spatial directions.,,0,3537,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">Previous studies have shown that <strong>males often score higher on measures of spatial ability</strong>.</p>",,,44239,,6,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-7.0,basically to get a person's perspective on spatial directions.,,"{'first': 'males', 'second': 'saptial'}",13685,saptial,,,,,57933,,7,survey-html-form,
149,Spatial,True,spatial,,,,,males,Female,0.0-8.0,basically to get a person's perspective on spatial directions.,,0,27758,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p>In this test, you will be shown a map of a city with a path drawn through it. </p>
      <p>Imagine yourself taking a walk through the path, following the direction of the dashed line.</p> 
      <p>At each turn that the path takes, which will be circled, 
      your task is to decide whether you would turn to your right or your left as you are walking. </p>
      <p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p>
      <p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p>
      <p>You will first see three practice trials. </p>
      <p>Please do not turn your computer screen/head.</p>",,,85695,,8,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-9.0,basically to get a person's perspective on spatial directions.,,0,4756,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;"">You will first see three practice trials</p><p><p>If it is a <strong> right turn</strong>, click on the <strong> right arrow key</strong>  on your keyboard,</p><p>and if it is a <strong> left turn</strong>, click on the <strong> left arrow key</strong>  on your keyboard.</p> ",,,90455,,9,html-button-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-10.0-0.0,basically to get a person's perspective on spatial directions.,,arrowleft,12789,saptial,,img/spatial/version2/p1.png,,,103265,,10,image-keyboard-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-10.0-1.0,basically to get a person's perspective on spatial directions.,,arrowleft,4859,saptial,,img/spatial/version2/p2.png,,,108128,,11,image-keyboard-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-10.0-2.0,basically to get a person's perspective on spatial directions.,,arrowright,1262,saptial,,img/spatial/version2/p3.png,,,109393,,12,image-keyboard-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-11.0,basically to get a person's perspective on spatial directions.,,0,3113,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""> Now, you will have 30 seconds to complete as many of the 32 trials as you can.",,,112510,,13,html-button-response,
149,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.0,basically to get a person's perspective on spatial directions.,,arrowleft,2766,saptial,,img/spatial/version2/1.png,,,115285,,14,image-keyboard-response,
149,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.1,basically to get a person's perspective on spatial directions.,,arrowright,1953,saptial,,img/spatial/version2/2.png,,,117244,,15,image-keyboard-response,
149,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.2,basically to get a person's perspective on spatial directions.,,arrowright,3313,saptial,,img/spatial/version2/3.png,,,120561,,16,image-keyboard-response,
149,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.3,basically to get a person's perspective on spatial directions.,,arrowleft,1536,saptial,,img/spatial/version2/4.png,,,122101,,17,image-keyboard-response,
149,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.4,basically to get a person's perspective on spatial directions.,,arrowright,1508,saptial,,img/spatial/version2/5.png,,,123613,,18,image-keyboard-response,
149,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.5,basically to get a person's perspective on spatial directions.,,arrowright,4750,saptial,,img/spatial/version2/6.png,,,128367,,19,image-keyboard-response,
149,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.6,basically to get a person's perspective on spatial directions.,,arrowleft,2777,saptial,,img/spatial/version2/7.png,,,131149,,20,image-keyboard-response,
149,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.7,basically to get a person's perspective on spatial directions.,,arrowleft,5246,saptial,,img/spatial/version2/8.png,,,136399,,21,image-keyboard-response,
149,Spatial,True,spatial,True,,,,males,Female,0.0-12.0-0.8,basically to get a person's perspective on spatial directions.,,arrowright,2542,saptial,,img/spatial/version2/9.png,,,138944,,22,image-keyboard-response,
149,Spatial,True,spatial,False,,,,males,Female,0.0-12.0-0.9,basically to get a person's perspective on spatial directions.,,,,saptial,ended early,,,,142529,,23,image-keyboard-response,
149,Spatial,True,spatial,,,,,males,Female,0.0-13.0,basically to get a person's perspective on spatial directions.,,0,2856,saptial,,"<div style=""text-align: left;padding: 0 20vw;""><p style=""font-size:20px; color:black;""><p>You have finished the task - thanks for participating! A few more questions before you go. </p>",,,145388,,24,html-button-response,
